Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000031029,0.29119517252063,7.4685205587186,14.2991443205668,0.00015593574617083,0.00050298857216086
ENSMUSG00000037514,-0.363353019704114,6.20756967631938,14.2981308639303,0.000156019722755942,0.000503134569959362
ENSMUSG00000026544,-0.808452351788807,2.83623615798602,14.2946784905324,0.000156306133721868,0.000503933146576383
ENSMUSG00000020268,-1.46458252729706,0.193283607817328,14.2812894137496,0.000157421917038622,0.000507404571883415
ENSMUSG00000028633,-0.895999003589219,4.529153214943,14.2784384314647,0.000157660538521697,0.000508047696163645
ENSMUSG00000037710,-0.478536720529951,5.03416478358269,14.2768416713165,0.000157794343232968,0.000508352822175422
ENSMUSG00000097263,1.16346424118542,0.842683495412084,14.2520093334051,0.000159890014277606,0.00051497661104133
ENSMUSG00000026698,-0.456677196790976,4.13403843093561,14.2479229372192,0.000160237552741521,0.000515968095993263
ENSMUSG00000057594,-0.666356908799319,2.69582319334719,14.2339860715867,0.00016142858264414,0.000519674476106822
ENSMUSG00000039515,-0.370350610609371,6.86076013485266,14.2261976328463,0.000162098053622922,0.000521700422209881
ENSMUSG00000034620,0.38553386430716,4.81599602150275,14.2126096694603,0.000163272735954734,0.000525350947379977
ENSMUSG00000032959,-0.385143910415518,6.13211909743879,14.2111568982088,0.000163398834551598,0.000525626547978359
ENSMUSG00000036552,-0.770490093778204,2.87799526969282,14.2099512472934,0.000163503557904532,0.000525833268628383
ENSMUSG00000005936,-0.290873100952224,6.96840171997239,14.1912424579793,0.000165137301336394,0.0005309560534804
ENSMUSG00000056692,0.293493165920768,7.54375195025366,14.1850463020719,0.000165681996347461,0.000532488358045346
ENSMUSG00000087221,-0.768700031240888,2.30591995804539,14.1848892809788,0.000165695823325283,0.000532488358045346
ENSMUSG00000097357,1.31560232816879,0.533087247321296,14.1732069808504,0.000166727810784297,0.000535672343375209
ENSMUSG00000031585,-0.474546629526694,4.24240512210205,14.167957118539,0.00016719367728651,0.000536931091667969
ENSMUSG00000039246,-0.728861425844956,2.5870102215895,14.1675172507204,0.000167232770103839,0.000536931091667969
ENSMUSG00000003206,1.26087773891651,0.568648133177739,14.1673960758463,0.000167243541018155,0.000536931091667969
ENSMUSG00000050714,-0.801255615044312,2.19708346321518,14.1623544314721,0.000167692299272777,0.000538238854371204
ENSMUSG00000040433,0.378094605114262,5.90153027606406,14.1586754302769,0.000168020533446182,0.000539159222880636
ENSMUSG00000035478,-0.346636324215602,6.37264374298585,14.1562983114443,0.000168232959945161,0.000539664587721508
ENSMUSG00000103322,0.657992473049648,2.72463425819608,14.1559839400386,0.000168261073364693,0.000539664587721508
ENSMUSG00000040272,-0.525170700179862,4.25682260734137,14.1493288041028,0.000168857336506051,0.00054143907515844
ENSMUSG00000104022,-0.860448242951009,3.32311891305701,14.1488795736631,0.000168897661641453,0.00054143907515844
ENSMUSG00000031485,0.302465039709357,6.28593186806089,14.1315227518412,0.000170463144743435,0.000546288386090501
ENSMUSG00000024008,0.557686851871084,7.54747079697984,14.1311774551384,0.000170494436286786,0.000546288386090501
ENSMUSG00000036461,0.339451183644176,6.76162150415484,14.1285803634071,0.000170729975896163,0.00054690824913644
ENSMUSG00000023307,0.313588494600821,5.94452467246296,14.1094042952573,0.000172479296752379,0.000552375786247885
